Date : 2023-09-04 17:21:48
Directory : c:\在修改的内容\jbbot\zmng
Total : 80 files,  3181 codes, 779 comments, 1620 blanks, all 5580 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\在修改的内容\jbbot\zmng\node_modu\autoload.js      | JavaScript |         22 |         10 |         14 |         46 |
| c:\在修改的内容\jbbot\zmng\node_modu\core.js          | JavaScript |          8 |          0 |          5 |         13 |
| c:\在修改的内容\jbbot\zmng\node_modu\dsl.js           | JavaScript |         16 |          4 |         10 |         30 |
| c:\在修改的内容\jbbot\zmng\node_modu\dslParse.js      | JavaScript |        219 |         23 |         99 |        341 |
| c:\在修改的内容\jbbot\zmng\node_modu\enc.js           | JavaScript |         33 |          6 |          8 |         47 |
| c:\在修改的内容\jbbot\zmng\node_modu\exprs.js         | JavaScript |         79 |         15 |         10 |        104 |
| c:\在修改的内容\jbbot\zmng\node_modu\file.js          | JavaScript |         33 |          5 |         10 |         48 |
| c:\在修改的内容\jbbot\zmng\node_modu\fp_ati1990.js    | JavaScript |        199 |         43 |         76 |        318 |
| c:\在修改的内容\jbbot\zmng\node_modu\http.js          | JavaScript |         74 |         13 |         36 |        123 |
| c:\在修改的内容\jbbot\zmng\node_modu\package.json     | JSON       |          8 |          0 |          1 |          9 |
| c:\在修改的内容\jbbot\zmng\node_modu\php.js           | JavaScript |        137 |         21 |         57 |        215 |
| c:\在修改的内容\jbbot\zmng\node_modu\secury.js        | JavaScript |          0 |          0 |          1 |          1 |
| c:\在修改的内容\jbbot\zmng\node_modu\ui.js            | JavaScript |         63 |         28 |         30 |        121 |
| c:\在修改的内容\jbbot\zmng\oplog.htm                  | HTML       |        121 |         60 |         49 |        230 |
| c:\在修改的内容\jbbot\zmng\res\agtBal.json            | JSON       |          1 |          0 |          0 |          1 |
| c:\在修改的内容\jbbot\zmng\res\apidoc.json            | JSON       |          5 |          0 |          0 |          5 |
| c:\在修改的内容\jbbot\zmng\res\g.go                   | Go         |          5 |          0 |          6 |         11 |
| c:\在修改的内容\jbbot\zmng\res\kexiafen.json          | JSON       |          9 |          0 |          0 |          9 |
| c:\在修改的内容\jbbot\zmng\res\kill.js                | JavaScript |          9 |          0 |          5 |         14 |
| c:\在修改的内容\jbbot\zmng\res\playerQryRzt.json      | JSON       |         20 |          0 |          0 |         20 |
| c:\在修改的内容\jbbot\zmng\res\sheofenRzt.json        | JSON       |         12 |          0 |          0 |         12 |
| c:\在修改的内容\jbbot\zmng\res\style.css              | CSS        |          7 |          0 |          2 |          9 |
| c:\在修改的内容\jbbot\zmng\res\ts11.ts                | TypeScript |          1 |          0 |          2 |          3 |
| c:\在修改的内容\jbbot\zmng\res\web.js                 | JavaScript |         15 |          1 |          9 |         25 |
| c:\在修改的内容\jbbot\zmng\shangxiafen.htm            | HTML       |        145 |         60 |         52 |        257 |
| c:\在修改的内容\jbbot\zmng\shangxiafen.js             | JavaScript |        141 |         49 |        114 |        304 |
| c:\在修改的内容\jbbot\zmng\test\ati1990fp4nodeTest.js | JavaScript |          2 |          0 |          7 |          9 |
| c:\在修改的内容\jbbot\zmng\test\dblowT.js             | JavaScript |         12 |         10 |         24 |         46 |
| c:\在修改的内容\jbbot\zmng\test\lowDbTest.js          | JavaScript |         23 |          9 |         23 |         55 |
| c:\在修改的内容\jbbot\zmng\test\lowdbTst.js           | JavaScript |         10 |          3 |         14 |         27 |
| c:\在修改的内容\jbbot\zmng\test\pkgTest.js            | JavaScript |          9 |          3 |         12 |         24 |
| c:\在修改的内容\jbbot\zmng\test\userColl4.json        | JSON       |         50 |          0 |          0 |         50 |
| c:\在修改的内容\jbbot\zmng\test\web.js                | JavaScript |          5 |          9 |         43 |         57 |
| c:\在修改的内容\jbbot\zmng\web.js                     | JavaScript |         15 |          1 |          9 |         25 |
| Total                                           |            |      3,181 |        779 |      1,620 |      5,580 |
+-------------------------------------------------+------------+------------+------------+------------+------------+
