"filename", "language", "JSON", "JavaScript", "Go", "Markdown", "TypeScript", "CSS", "HTML", "SQL", "PHP", "Log", "comment", "blank", "total"
"c:\在修改的内容\jbbot\zmng\node_modu\aes.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 94
"c:\在修改的内容\jbbot\zmng\node_modu\api.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 24, 85, 196
"c:\在修改的内容\jbbot\zmng\node_modu\api2023jb.js", "JavaScript", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 58, 137, 429
"c:\在修改的内容\jbbot\zmng\node_modu\apidoc.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\在修改的内容\jbbot\zmng\node_modu\autoload.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 14, 46
"c:\在修改的内容\jbbot\zmng\node_modu\core.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\在修改的内容\jbbot\zmng\node_modu\dsl.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 30
"c:\在修改的内容\jbbot\zmng\node_modu\dslParse.js", "JavaScript", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 23, 99, 341
"c:\在修改的内容\jbbot\zmng\node_modu\enc.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 47
"c:\在修改的内容\jbbot\zmng\node_modu\exprs.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 104
"c:\在修改的内容\jbbot\zmng\node_modu\file.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 48
"c:\在修改的内容\jbbot\zmng\node_modu\fp_ati1990.js", "JavaScript", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 43, 76, 318
"c:\在修改的内容\jbbot\zmng\node_modu\http.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 13, 36, 123
"c:\在修改的内容\jbbot\zmng\node_modu\package.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\在修改的内容\jbbot\zmng\node_modu\php.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 21, 57, 215
"c:\在修改的内容\jbbot\zmng\node_modu\secury.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\在修改的内容\jbbot\zmng\node_modu\ui.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 28, 30, 121
"c:\在修改的内容\jbbot\zmng\oplog.htm", "HTML", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 60, 49, 230
"c:\在修改的内容\jbbot\zmng\res\agtBal.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\在修改的内容\jbbot\zmng\res\apidoc.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\在修改的内容\jbbot\zmng\res\g.go", "Go", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11
"c:\在修改的内容\jbbot\zmng\res\kexiafen.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\在修改的内容\jbbot\zmng\res\kill.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\在修改的内容\jbbot\zmng\res\playerQryRzt.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\在修改的内容\jbbot\zmng\res\sheofenRzt.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\在修改的内容\jbbot\zmng\res\style.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
